,wideClass,mass (g)
18,LL,700.0
22,Eucrite,252.0
30,Ureilite,3950.0
49,L,9500.0
82,H,29560.0
86,L,2900.0
95,LL,25000.0
96,L,19000.0
99,LL,45000.0
101,L,270.0
104,Eucrite,960.0
109,LL,678.0
137,L,190.0
138,L,3599.0
146,CV,5300.0
148,Eucrite,324.0
156,H,41000.0
160,H,478.0
169,H,342.0
195,H,100000.0
228,L,6580.0
234,H,12500.0
236,H,12000.0
241,H,3396.0
324,H,
338,H,215.0
377,H,414.0
378,H,167.7
387,H,1600.0
415,L,3667.0
420,L,100.0
449,L,1600.0
458,H,16820.0
460,Iron,6800.0
463,L,5760.0
465,H,6669.2
482,LL,19000.0
495,H,4300.0
520,Pallasite,9.6
550,L,329.7
573,H,70500.0
574,H,4629.0
588,CM,25.81
594,L,6000.0
597,H,24.54
620,L,3584.0
650,H,633.0
652,CO,3763.0
687,EL,6189.0
690,H,19256.0
735,Eucrite,180.0
742,L,4440.0
744,H,17000.0
757,L,69.5
763,L,18000.0
801,L,6913.0
804,LL,290.9
815,Eucrite,500.0
841,H,18.41
878,L,237.0
884,L,4000.0
937,L,1066.0
965,,100000.0
969,C,992.5
973,C,10000.0
978,H,100000.0
988,L,14200.0
989,H,45300.0
996,Martian,7000.0
1045,L,2500.0
1053,L,3500.0
1064,H,4000.0
1069,H,2138.74
1082,H,5700.0
1112,H,194.34
1233,LL,95.0
1283,H,67.2
1333,H,136.9
1432,LL,91.3
1437,H,157.0
1438,L,25.0
1439,LL,117.0
1440,CR,69.0
1443,H,745.22
1444,CV,180.07
1445,L,30000.0
1446,L,490.0
1447,CM,750.0
1448,CO,115.02
1449,CO,489.0
1450,L,211.25
1451,H,261.0
1452,L,19400.0
1453,L,360.0
1454,H,377.6
1455,H,400.0
1456,L,173.15
1457,L,132.0
1458,L,1276.0
1459,H,140.0
1460,H,410.0
1461,LL,53.0
1462,LL,546.0
1463,L,1165.0
1464,L,8750.0
1465,H,298.0
1466,H,128.0
1467,L,211.0
1468,L,873.0
1469,Eucrite,11935.0
1470,LL,252.0
1471,LL,161.0
1472,EL,120.0
1473,LL,62.0
1474,H,70.0
1475,H,67.0
1476,Ureilite,68.0
1477,H,138.0
1478,H,242.8
1479,LL,389.9
1480,LL,656.0
1481,L,1456.0
1482,CH,1456.0
1483,H,410.0
1484,H,126.0
1485,H,122.0
1486,Chondrite,129.0
1487,L,9608.0
1488,LL,238.0
1489,H,128.0
1490,CO,118.0
1491,LL,495.0
1492,H,132.0
1493,L,132.0
1494,LL,1320.0
1495,H,14764.0
1496,H,849.0
1497,L,292.0
1498,H,101.0
1499,L,200.0
1500,H,177.0
1501,H,1072.0
1502,H,397.0
1503,H,578.0
1504,H,388.0
1507,CR,364.0
1508,CR,394.0
1509,CR,148.0
1510,CR,105.0
1511,CR,97.0
1512,CR,89.0
1513,CR,101.0
1514,L,9.0
1521,LL,259.3
1530,EL,360.0
1531,L,926.0
1533,LL,2200.0
1534,H,2730.0
1538,Iron,100000.0
1539,Eucrite,82.0
1558,L,1000.0
1566,H,13.31
1567,,100000.0
1568,L,41.5
1569,H,81.4
1570,L,115.42
1571,L,260.22
1572,L,763.29
1573,L,1861.21
1574,L,1042.7
1575,L,1074.3
1576,H,39.83
1577,L,41539.3
1578,L,8056.0
1579,L,402.75
1580,H,1066.2
1581,L,402.75
1582,H,1319.4
1583,H,854.7
1584,L,2936.5
1585,H,1865.6
1586,H,124.0
1587,H,105.3
1588,L,97.7
1589,L,362.7
1590,L,913.1
1591,H,50.7
1592,L,591.8
1593,H,12834.0
1594,L,2084.16
1595,L,150.057
1596,H,61.6
1597,L,165.4
1598,H,250.5
1599,L,2632.8
1600,LL,3150.5
1601,LL,690.5
1602,L,273.05
1603,H,141.51
1604,L,1228.1
1605,L,16.41
1606,L,1.56
1607,H,356.2
1608,H,3407.8
1609,Achondrite,1411.8
1610,L,112.76
