Date,South West_avg,South East_avg,London_avg,East of England_avg,West Midlands_avg,East Midlands_avg,Yorkshire and The Humber_avg,North West_avg,North East_avg,South West_rank,South East_rank,London_rank,East of England_rank,West Midlands_rank,East Midlands_rank,Yorkshire and The Humber_rank,North West_rank,North East_rank
1995-01-01,54705.1579,64018.878939999995,74435.76052000001,56701.5961,45090.910260000004,45544.52227,44803.42878,43958.48001,42076.35411,4.0,2.0,1.0,3.0,6.0,5.0,7.0,8.0,9.0
1996-01-01,53373.219410000005,64057.17812999999,75341.92348,55033.23782,44886.62926,44618.55057,43460.63343,42599.171330000005,40789.942189999994,4.0,2.0,1.0,3.0,5.0,6.0,7.0,8.0,9.0
1997-01-01,57751.254989999994,69007.75473,83065.73641,59081.19696,47535.66472,46775.094260000005,44984.36803,44094.92509,42353.484939999995,4.0,2.0,1.0,3.0,5.0,6.0,7.0,8.0,9.0
1998-01-01,64148.086279999996,79976.21086,97913.84288,66899.05828,50368.3604,50771.313930000004,46763.00972,46308.63234,44245.701089999995,4.0,2.0,1.0,3.0,6.0,5.0,7.0,8.0,9.0
1999-01-01,69447.64997,87345.54483,105695.3248,71965.72065,52640.7559,53061.77692,47586.11332,47592.93309,45466.770039999996,4.0,2.0,1.0,3.0,6.0,5.0,8.0,7.0,9.0
2000-01-01,81381.26073,104357.8996,130410.6112,84191.69431,57998.5969,58079.99205,50488.88487,51177.27682,47603.63553,4.0,2.0,1.0,3.0,6.0,5.0,8.0,7.0,9.0
2001-01-01,92099.79127999999,118667.9078,149543.2598,96627.67268999999,64396.181039999996,65725.11488,55006.59816,55926.8407,49836.7581,4.0,2.0,1.0,3.0,6.0,5.0,8.0,7.0,9.0
2002-01-01,108959.7969,137153.8196,169840.6632,112373.6629,73313.05785,75280.47183,60884.39145,61872.20737999999,54745.982529999994,4.0,2.0,1.0,3.0,6.0,5.0,8.0,7.0,9.0
2003-01-01,141452.0428,169023.6273,207162.34,144866.324,95028.72936,100132.435,78554.28229,76068.89693999999,67520.0267,4.0,2.0,1.0,3.0,6.0,5.0,7.0,8.0,9.0
2004-01-01,158494.9561,182139.0376,218855.4575,159709.8805,114453.9374,119410.6946,96820.34262000001,95631.70069,90993.71452000001,4.0,2.0,1.0,3.0,6.0,5.0,7.0,8.0,9.0
2005-01-01,175837.9456,195619.5014,232422.1606,175322.5802,130279.0247,135280.8847,118923.3105,118939.2745,111474.0988,3.0,2.0,1.0,4.0,6.0,5.0,8.0,7.0,9.0
2006-01-01,181152.3421,201251.6422,239845.5309,178992.2244,136761.6716,140443.4005,130043.163,130143.7753,123038.7434,3.0,2.0,1.0,4.0,6.0,5.0,8.0,7.0,9.0
2007-01-01,197596.8337,220545.872,267658.3296,194993.9137,144775.3437,151360.0717,141823.7877,142760.2198,132508.4896,3.0,2.0,1.0,4.0,6.0,5.0,8.0,7.0,9.0
2008-01-01,207935.6883,235299.5231,298596.4128,207690.8073,149456.5012,153065.1988,147224.8259,148288.667,135418.1753,3.0,2.0,1.0,4.0,6.0,5.0,8.0,7.0,9.0
2009-01-01,173482.8019,194568.0684,253092.6023,175527.5637,128405.4366,131716.4547,125554.4787,127472.07699999999,118710.061,4.0,2.0,1.0,3.0,6.0,5.0,8.0,7.0,9.0
2010-01-01,188404.2622,217935.8826,279724.0,187909.6551,133397.9381,136462.2029,132779.957,131059.7932,119946.7107,3.0,2.0,1.0,4.0,6.0,5.0,7.0,8.0,9.0
2011-01-01,188991.5151,216680.3442,287982.8882,189424.415,133198.7622,136417.7233,128975.0017,129891.8094,117110.9832,4.0,2.0,1.0,3.0,6.0,5.0,8.0,7.0,9.0
2012-01-01,189941.6387,217659.9736,294360.4398,191894.0531,130512.0397,136369.0445,126762.7158,125780.4875,113011.0914,4.0,2.0,1.0,3.0,6.0,5.0,7.0,8.0,9.0
2013-01-01,189820.1266,225210.3132,311364.3411,194208.5914,131700.9265,137536.5355,125515.9261,124577.5477,113585.4462,4.0,2.0,1.0,3.0,6.0,5.0,7.0,8.0,9.0
2014-01-01,198251.6263,240960.6836,355829.6511,205791.5084,137261.7787,145260.7085,131526.1747,129790.0015,114530.7199,4.0,2.0,1.0,3.0,6.0,5.0,7.0,8.0,9.0
2015-01-01,212877.7818,264848.2514,402847.4493,228276.1722,144269.1393,153668.9536,136168.7125,136040.9885,117155.6021,4.0,2.0,1.0,3.0,6.0,5.0,7.0,8.0,9.0
2016-01-01,227022.7712,294135.033,457332.1083,255487.3665,153396.0238,165087.1503,144648.8546,143297.3222,121361.8386,4.0,2.0,1.0,3.0,6.0,5.0,7.0,8.0,9.0
