,Competition,Violent disorder,Public disorder,Throwing missiles,Racist and indecent chanting,Pitch incursion,Alcohol offences,Ticket touting,Possession of an offensive weapon,Possession of pyrotechnics,Breach of banning order ,Criminal damage
0,Premier League,62,126,28,6,47,84,30,3,23,8,14
1,Championship,92,127,11,3,49,112,0,8,46,5,17
2,League One,64,95,2,1,26,34,0,2,14,8,17
3,League Two,40,75,4,2,25,42,0,2,8,6,3
4,National League National Division,14,24,2,0,7,11,0,1,1,1,0
5,FA Cup,37,38,7,3,20,30,5,0,14,1,1
6,League Cup,27,48,1,2,7,15,0,0,10,1,5
7,Football League Trophy,4,11,1,0,3,3,0,0,1,1,1
8,Champions League and Europa League,12,20,3,0,1,12,5,0,4,3,1
9,Internationals,14,14,0,0,0,19,0,0,16,0,12
