,Year,Var,Country,N,Sex
0,2002,age 65,N Ireland,15.73,Male
1,2003,age 65,N Ireland,15.92,Male
2,2004,age 65,N Ireland,16.17,Male
3,2005,age 65,N Ireland,16.4,Male
4,2006,age 65,N Ireland,16.7,Male
5,2007,age 65,N Ireland,16.88,Male
6,2008,age 65,N Ireland,16.93,Male
7,2009,age 65,N Ireland,17.18,Male
8,2010,age 65,N Ireland,17.43,Male
9,2011,age 65,N Ireland,17.82,Male
10,2012,age 65,N Ireland,17.94,Male
11,2002,age 65,N Ireland,18.79,Female
12,2003,age 65,N Ireland,18.97,Female
13,2004,age 65,N Ireland,19.14,Female
14,2005,age 65,N Ireland,19.42,Female
15,2006,age 65,N Ireland,19.65,Female
16,2007,age 65,N Ireland,19.83,Female
17,2008,age 65,N Ireland,19.89,Female
18,2009,age 65,N Ireland,20.04,Female
19,2010,age 65,N Ireland,20.26,Female
20,2011,age 65,N Ireland,20.56,Female
21,2012,age 65,N Ireland,20.64,Female
31,2002,birth,England,76.0,Male
32,2003,birth,England,76.22,Male
33,2004,birth,England,76.52,Male
34,2005,birth,England,76.87,Male
35,2006,birth,England,77.28,Male
36,2007,birth,England,77.6,Male
37,2008,birth,England,77.87,Male
38,2009,birth,England,78.18,Male
39,2010,birth,England,78.5,Male
40,2011,birth,England,78.91,Male
41,2012,birth,England,79.21,Male
51,2002,birth,England,80.66,Female
52,2003,birth,England,80.72,Female
53,2004,birth,England,80.9,Female
54,2005,birth,England,81.13,Female
55,2006,birth,England,81.53,Female
56,2007,birth,England,81.78,Female
57,2008,birth,England,81.98,Female
58,2009,birth,England,82.26,Female
59,2010,birth,England,82.51,Female
60,2011,birth,England,82.89,Female
61,2012,birth,England,83.01,Female
71,2002,birth,N Ireland,75.25,Male
72,2003,birth,N Ireland,75.59,Male
73,2004,birth,N Ireland,75.86,Male
74,2005,birth,N Ireland,76.05,Male
75,2006,birth,N Ireland,76.16,Male
76,2007,birth,N Ireland,76.23,Male
77,2008,birth,N Ireland,76.41,Male
78,2009,birth,N Ireland,76.77,Male
